Low Edge  Up Edge Bin Count
 110.00   110.25   46
 110.25   110.50   52
 110.50   110.75   45
 110.75   111.00   58
 111.00   111.25   42
 111.25   111.50   31
 111.50   111.75   40
 111.75   112.00   58
 112.00   112.25   58
 112.25   112.50   64
 112.50   112.75   43
 112.75   113.00   58
 113.00   113.25   47
 113.25   113.50   57
 113.50   113.75   49
 113.75   114.00   46
 114.00   114.25   39
 114.25   114.50   56
 114.50   114.75   42
 114.75   115.00   47
 115.00   115.25   32
 115.25   115.50   55
 115.50   115.75   39
 115.75   116.00   55
 116.00   116.25   41
 116.25   116.50   30
 116.50   116.75   42
 116.75   117.00   35
 117.00   117.25   33
 117.25   117.50   32
 117.50   117.75   36
 117.75   118.00   38
 118.00   118.25   36
 118.25   118.50   29
 118.50   118.75   35
 118.75   119.00   45
 119.00   119.25   28
 119.25   119.50   36
 119.50   119.75   27
 119.75   120.00   42
 120.00   120.25   41
 120.25   120.50   39
 120.50   120.75   38
 120.75   121.00   40
 121.00   121.25   36
 121.25   121.50   35
 121.50   121.75   26
 121.75   122.00   41
 122.00   122.25   41
 122.25   122.50   33
 122.50   122.75   26
 122.75   123.00   28
 123.00   123.25   37
 123.25   123.50   45
 123.50   123.75   27
 123.75   124.00   40
 124.00   124.25   36
 124.25   124.50   26
 124.50   124.75   34
 124.75   125.00   27
 125.00   125.25   28
 125.25   125.50   36
 125.50   125.75   34
 125.75   126.00   31
 126.00   126.25   27
 126.25   126.50   23
 126.50   126.75   38
 126.75   127.00   28
 127.00   127.25   20
 127.25   127.50   35
 127.50   127.75   35
 127.75   128.00   20
 128.00   128.25   25
 128.25   128.50   26
 128.50   128.75   16
 128.75   129.00   35
 129.00   129.25   26
 129.25   129.50   19
 129.50   129.75   16
 129.75   130.00   28
 130.00   130.25   21
 130.25   130.50   16
 130.50   130.75   17
 130.75   131.00   20
 131.00   131.25   26
 131.25   131.50   21
 131.50   131.75   17
 131.75   132.00   13
 132.00   132.25   22
 132.25   132.50   20
 132.50   132.75   24
 132.75   133.00   23
 133.00   133.25   20
 133.25   133.50   21
 133.50   133.75   30
 133.75   134.00   22
 134.00   134.25   21
 134.25   134.50   23
 134.50   134.75   18
 134.75   135.00   25
 135.00   135.25   16
 135.25   135.50   16
 135.50   135.75   16
 135.75   136.00   18
 136.00   136.25   12
 136.25   136.50   13
 136.50   136.75   13
 136.75   137.00   17
 137.00   137.25   26
 137.25   137.50   23
 137.50   137.75   15
 137.75   138.00   17
 138.00   138.25   20
 138.25   138.50   18
 138.50   138.75   21
 138.75   139.00   23
 139.00   139.25   23
 139.25   139.50   14
 139.50   139.75   15
 139.75   140.00   16
 140.00   140.25   22
 140.25   140.50   16
 140.50   140.75   11
 140.75   141.00   14
 141.00   141.25   16
 141.25   141.50   16
 141.50   141.75   15
 141.75   142.00   21
 142.00   142.25   31
 142.25   142.50   14
 142.50   142.75   16
 142.75   143.00   10
 143.00   143.25    8
 143.25   143.50   19
 143.50   143.75   18
 143.75   144.00   14
 144.00   144.25    8
 144.25   144.50   20
 144.50   144.75   12
 144.75   145.00   21
 145.00   145.25   18
 145.25   145.50    4
 145.50   145.75    8
 145.75   146.00   10
 146.00   146.25   15
 146.25   146.50   11
 146.50   146.75   13
 146.75   147.00   13
 147.00   147.25   16
 147.25   147.50   15
 147.50   147.75   13
 147.75   148.00   19
 148.00   148.25   10
 148.25   148.50    7
 148.50   148.75   10
 148.75   149.00   12
 149.00   149.25   16
 149.25   149.50   10
 149.50   149.75   13
 149.75   150.00    8
